,Datas,Quantidade 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Data Vacinação,quantidade
,17/01/2021,170
,18/01/2021,940
,19/01/2021,7.425
,20/01/2021,12.205
,21/01/2021,24.602
,22/01/2021,42.255
,23/01/2021,8.620
,24/01/2021,2.533
,25/01/2021,2.426
,26/01/2021,12.467
,27/01/2021,14.656
,28/01/2021,24.547
,29/01/2021,21.495
,30/01/2021,1.881
,31/01/2021,413
,01/02/2021,11.846
,02/02/2021,13.314
,03/02/2021,20.778
,04/02/2021,26.126
,05/02/2021,39.599
,06/02/2021,7.440
,07/02/2021,2.185
,08/02/2021,21.846
,09/02/2021,25.604
,10/02/2021,16.993
,11/02/2021,21.329
,12/02/2021,65.845
,13/02/2021,7.096
,14/02/2021,7.700
,15/02/2021,46.068
,16/02/2021,38.786
,17/02/2021,33.265
,18/02/2021,33.661
,19/02/2021,25.943
,20/02/2021,2.635
,21/02/2021,651
,22/02/2021,17.359
,23/02/2021,15.927
,24/02/2021,13.056
,25/02/2021,11.246
,26/02/2021,19.454
,27/02/2021,39.585
,28/02/2021,7.925
,01/03/2021,73.407
,02/03/2021,43.625
,03/03/2021,96.763
,04/03/2021,47.376
,05/03/2021,49.543
,06/03/2021,6.724
,07/03/2021,37
,08/03/2021,27.454
,09/03/2021,17.150
,10/03/2021,19.840
,11/03/2021,19.927
,12/03/2021,24.281
,13/03/2021,2.461
,14/03/2021,88
,15/03/2021,80.896
,16/03/2021,29.299
,17/03/2021,18.892
,18/03/2021,15.212
,19/03/2021,138.503
,20/03/2021,12.382
,21/03/2021,282
,22/03/2021,37.707
,23/03/2021,24.092
,24/03/2021,52.458
,25/03/2021,31.115
,26/03/2021,168.138
,27/03/2021,21.460
,28/03/2021,82
,29/03/2021,42.437
,30/03/2021,22.632
,31/03/2021,21.723
,01/04/2021,18.421
,02/04/2021,36.772
,03/04/2021,12.758
,04/04/2021,307
,05/04/2021,111.598
,06/04/2021,60.333
,07/04/2021,45.440
,08/04/2021,36.792
,09/04/2021,125.004
,10/04/2021,50.657
,11/04/2021,1.040
,12/04/2021,106.166
,13/04/2021,43.107
,14/04/2021,29.177
,15/04/2021,24.731
,16/04/2021,143.097
,17/04/2021,16.150
,18/04/2021,188
,19/04/2021,47.834
,20/04/2021,27.572
,21/04/2021,132.504
,22/04/2021,51.344
,23/04/2021,120.582
,24/04/2021,19.009
,25/04/2021,140
,26/04/2021,58.456
,27/04/2021,34.823
,28/04/2021,33.903
,29/04/2021,89.405
,30/04/2021,39.672
,01/05/2021,21.233
,02/05/2021,119
,03/05/2021,53.692
,04/05/2021,45.006
,05/05/2021,33.492
,06/05/2021,203.215
,07/05/2021,82.118
,08/05/2021,27.356
,09/05/2021,130
,10/05/2021,39.716
,11/05/2021,30.593
,12/05/2021,95.696
,13/05/2021,45.419
,14/05/2021,120.761
,15/05/2021,60.464
,16/05/2021,148
,17/05/2021,67.181
,18/05/2021,91.599
,19/05/2021,79.914
,20/05/2021,87.178
,21/05/2021,86.457
,22/05/2021,22.938
,23/05/2021,134
,24/05/2021,71.665
,25/05/2021,59.707
,26/05/2021,54.064
,27/05/2021,55.397
,28/05/2021,110.808
,29/05/2021,44.056
,30/05/2021,116
,31/05/2021,52.914
,01/06/2021,56.996
,02/06/2021,93.569
,03/06/2021,62.320
,04/06/2021,45.976
,05/06/2021,26.507
,06/06/2021,147
,07/06/2021,56.881
,08/06/2021,44.655
,09/06/2021,43.848
,10/06/2021,44.475
,11/06/2021,89.908
,12/06/2021,17.425
,13/06/2021,85
,14/06/2021,80.441
,15/06/2021,54.149
,16/06/2021,141.983
,17/06/2021,131.555
,18/06/2021,133.899
,19/06/2021,136.762
,20/06/2021,109
,21/06/2021,57.860
,22/06/2021,3.421
,23/06/2021,110.497
,24/06/2021,99.912
,25/06/2021,113.562
,26/06/2021,47.594
,27/06/2021,244
,28/06/2021,136.371
,29/06/2021,185.113
,30/06/2021,194.990
,01/07/2021,95.877
,02/07/2021,70.681
,03/07/2021,7.873
,04/07/2021,411
,05/07/2021,131.598
,06/07/2021,74.848
,07/07/2021,127.043
,08/07/2021,136.694
,09/07/2021,129.331
,10/07/2021,25.514
,11/07/2021,80
,12/07/2021,148.438
,13/07/2021,72.446
,14/07/2021,112.327
,15/07/2021,142.788
,16/07/2021,220.768
,17/07/2021,55.598
,18/07/2021,111
,19/07/2021,176.572
,20/07/2021,158.206
,21/07/2021,224.573
,22/07/2021,219.529
,23/07/2021,182.671
,24/07/2021,49.552
,25/07/2021,607
,26/07/2021,94.454
,27/07/2021,144.062
,28/07/2021,58.310
,29/07/2021,175.577
,30/07/2021,141.533
,31/07/2021,60.443
,01/08/2021,200
,02/08/2021,86.790
,03/08/2021,60.761
,04/08/2021,170.024
,05/08/2021,156.615
,06/08/2021,217.948
,07/08/2021,84.854
,08/08/2021,157
,09/08/2021,129.650
,10/08/2021,189.556
,11/08/2021,127.563
,12/08/2021,178.715
,13/08/2021,213.587
,14/08/2021,273.210
,15/08/2021,206.517
,16/08/2021,229.560
,17/08/2021,199.925
,18/08/2021,195.496
,19/08/2021,143.662
,20/08/2021,93.105
,21/08/2021,34.847
,22/08/2021,790
,23/08/2021,108.135
,24/08/2021,81.150
,25/08/2021,117.819
,26/08/2021,84.287
,27/08/2021,108.401
,28/08/2021,58.486
,29/08/2021,3.742
,30/08/2021,216.110
,31/08/2021,166.570
,01/09/2021,77.659